Id,Name*,Description,Flavour*,Comments,StatsText,Size, Level, Slot, price,Empire,Federation,Trading Guild,Pirates,Neutral,Void,Ancient Miners,In Game,AI Only,
Rocket3,Goo Blast Rocket,"Ammo for the Missile Launcher. A small rocket which explosions releases goo creatures which are drawn to enemy ships, slowing them down.",,Pending Name,,Small,4,Ammo,360,No,No,Yes,No,No,,,,,
Missile3,Guided Goo Blast Missile,"Ammo for the Missile Launcher. A small guided rocket which explosions releases goo creatures which are drawn to enemy ships, slowing them down.",,,,Small,4,Ammo,420,No,No,Yes,No,No,,,,,
Rocket4,Energy Drain Rocket,Ammo for the Missile Launcher. A small rocket which explosion drains energy from nearby ships.,,,,Small,5,Ammo,520,No,No,Yes,No,No,,,,,
Missile4,Guided Energy Drain Missile,Ammo for the Missile Launcher. A small guided rocket which explosion drains energy from nearby ships.,,,,Small,5,Ammo,610,No,No,Yes,No,No,,,,,
Rocket5,EMP Rocket,"Ammo for the Missile Launcher. A small rocket which explosion generates an EMP, stunning ships in the area.",,,,Small,6,Ammo,3480,No,No,Yes,No,No,,,,,
Missile5,Guided EMP Missile,"Ammo for the Missile Launcher. A small guided rocket which explosion generates an EMP, stunning ships in the area.",,,,Small,6,Ammo,4160,No,No,Yes,No,No,,,,,
Shield1,Shield I,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}750#dcolor{}\n\nGeneration: #color{0,0,255}50#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Small,3,Shield,225,No,No,No,No,Yes,,,,,
Shield2,Shield II,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}1500#dcolor{}\n\nGeneration: #color{0,0,255}75#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Small,3,Shield,337,No,No,No,No,Yes,,,,,
Shield3,Shield III,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}2250#dcolor{}\n\nGeneration: #color{0,0,255}100#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Small,3,Shield,506,No,No,No,No,Yes,,,,,
Shield4,Shield IV,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}3000#dcolor{}\n\nGeneration: #color{0,0,255}125#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Small,4,Shield,759,No,No,No,No,Yes,,,,,
Shield5,Shield V,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}3750#dcolor{}\n\nGeneration: #color{0,0,255}150#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Small,5,Shield,1139,No,No,No,No,Yes,,,,,
Shield6,Shield VI,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}4500#dcolor{}\n\nGeneration: #color{0,0,255}175#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Medium,6,Shield,1708,No,No,No,No,Yes,,,,,
Shield7,Shield VII,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}5250#dcolor{}\n\nGeneration: #color{0,0,255}200#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Medium,7,Shield,2562,No,No,No,No,Yes,,,,,
Shield8,Shield VIII,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}6000#dcolor{}\n\nGeneration: #color{0,0,255}225#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Medium,8,Shield,3844,No,No,No,No,Yes,,,,,
Shield9,Shield IX,A shield which protects the ship from damage. Will regenerate after not taking damage for a period of time.,,,"Capacity: #color{0,0,255}6750#dcolor{}\n\nGeneration: #color{0,0,255}250#dcolor{} / s\n\nRecovery Time: #color{255,0,0}15#dcolor{} s\n",Medium,9,Shield,5766,No,No,No,No,Yes,,,,,
Shotgun1,Kinetic Shotgun I,Fires a spread of projectiles dealing damage on impact.,,,"Damage: #color{255,0,0}127#dcolor{}\nEnergy Consumption: #color{255,255,0}60#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nDPS: #color{255,0,0}254#dcolor{}\nRange:2100",Small,1,"Weapon, Turret",450,Yes,No,No,No,No,,,,,
Shotgun2,Kinetic Shotgun II,Fires a spread of projectiles dealing damage on impact.,,,"Damage: #color{255,0,0}313#dcolor{}\nEnergy Consumption: #color{255,255,0}120#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nDPS: #color{255,0,0}626#dcolor{}\nRange:2100",Small,3,"Weapon, Turret",1012,Yes,No,No,No,No,,,,,
Shotgun3,Kinetic Shotgun III,Fires a spread of projectiles dealing damage on impact.,,,"Damage: #color{255,0,0}531#dcolor{}\nEnergy Consumption: #color{255,255,0}180#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nDPS: #color{255,0,0}1061#dcolor{}\nRange:2100",Small,5,"Weapon, Turret",2278,Yes,No,No,No,No,,,,,
Shotgun4,Kinetic Shotgun IV,Fires a spread of projectiles dealing damage on impact.,,,"Damage: #color{255,0,0}771#dcolor{}\nEnergy Consumption: #color{255,255,0}240#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nDPS: #color{255,0,0}1543#dcolor{}\nRange:2100",Small,7,"Weapon, Turret",5125,Yes,No,No,No,No,,,,,
Shotgun5,Kinetic Shotgun V,Fires a spread of projectiles dealing damage on impact.,,,"Damage: #color{255,0,0}1031#dcolor{}\nEnergy Consumption: #color{255,255,0}300#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nDPS: #color{255,0,0}2062#dcolor{}\nRange:2100",Small,9,"Weapon, Turret",11533,Yes,No,No,No,No,,,,,
VacuumModulator1,Vacuum Modulator I,"#color{255,255,224}Pulls collectibles to your ship.#dcolor{}\n\nRange: #color{255,255,0}800#dcolor{}\n\nForce: #color{255,255,0}0.7#dcolor{}\n\n",Vacuums keep your space clean.,,,Small,1,Utility,225,No,No,No,No,Yes,,,,,
VacuumModulator2,Vacuum Modulator II,"#color{255,255,224}Pulls collectibles to your ship.#dcolor{}\n\nRange: #color{255,255,0}1000#dcolor{}\n\nForce: #color{255,255,0}1#dcolor{}\n\n",Vacuums keep your space clean.,,,Small,2,Utility,337,No,No,No,No,Yes,,,,,
VacuumModulator3,Vacuum Modulator III,"#color{255,255,224}Pulls collectibles to your ship.#dcolor{}\n\nRange: #color{255,255,0}1000#dcolor{}\n\nForce: #color{255,255,0}1.3#dcolor{}\n\n",Vacuums keep your space clean.,,,Small,3,Utility,506,No,No,No,No,Yes,,,,,
VacuumModulator4,Vacuum Modulator IV,"#color{255,255,224}Pulls collectibles to your ship.#dcolor{}\n\nRange: #color{255,255,0}1200#dcolor{}\n\nForce: #color{255,255,0}1.6#dcolor{}\n\n",Vacuums keep your space clean.,,,Small,4,Utility,759,No,No,No,No,Yes,,,,,
VacuumModulator5,Vacuum Modulator V,"#color{255,255,224}Pulls collectibles to your ship.#dcolor{}\n\n#color{255,255,224}This model works while sitting in your cargo.#dcolor{}\n\nRange: #color{255,255,0}1200#dcolor{}\n\nForce: #color{255,255,0}1.9#dcolor{}\n\n",Vacuums keep your space clean. Now with no effort.,,,Small,5,Utility,1139,No,No,No,No,Yes,,,,,
EnergyKit3,Small Energy Kit,Immediately restores energy.,,Pending,Restores: 500 Energy,Small,11,Consumable,300,No,No,No,No,Yes,,,,,
OmegaRepairKit,Omega Repair Kit,"Immediately restores 1400 Hitpoints, 8500 Shields.",,,Restores: 1400 Hitpoints\nRestores: 8500 Shield,Small,11,Consumable,1900,No,No,Yes,No,No,,,,,
RepairKit3,Repair Kit II,"Immediately restores Hitpoints, 1000 Shields.",,,Restores: 800 Hitpoints\nRestores: 1000 Shield,Small,3,Consumable,800,No,No,No,No,Yes,,,,,
RepairKit6,Repair Kit III,"Immediately restores Hitpoints, 2000 Shields.",,,Restores: 1400 Hitpoints\nRestores: 2000 Shield,Small,6,Consumable,1900,No,No,No,No,Yes,,,,,
TimeBombLauncherItem,Delayed Implosion Charges,"Shoots out charges that explodes after a 10 second delay, sending out a massive shockwave.",,,,Small,9,"Weapon, Turret",19000,No,No,Yes,Yes,No,,,,,
EnergyAuraGenerator1,Energy Aura Generator,"Generates energy to all nearby ships, excluding yourself.",,Pending,,Small,3,Utility,1012,No,Yes,Yes,No,No,,,,,
EmergencyWarp,Emergency Warp Beacon,,,Pending,,Large,1,Utility,3000,,,,,,,,,,
TractorBeamItem,Tractor Beam,Pulls in deployable structures to be picked up.,,,,Small,2,"Weapon, Turret",675,No,No,No,No,Yes,,,,,
EmpImmunity,EMP Immunity Kit,Immediately recovers from an EMP stun.,,,Restores: 0 StunTime,Small,4,Consumable,12000,No,No,Yes,No,No,,,,,
EvasiveSystem,Evasive System,Supposed to evade shots. Currently not operating correctly.,,Rework,,Small,4,Utility,300,,,,,,,,,,
GooBlastUtil,Goo Glober,"Releases goo creatures around you. They are drawn to enemy ships, slowing them down.",,,"\nCooldown: #color{255,255,0}15#dcolor{} Sec\nRange:0",Small,3,Utility,1012,No,No,Yes,Yes,No,,,,,
GravitonGun,Graviton Gun,"Releases a projectile which explodes into a gravity well, pulling in everything to the center.",,,"\nEnergy Consumption: #color{255,255,0}50#dcolor{}\nCooldown: #color{255,255,0}10#dcolor{} Sec\nRange:0",Small,5,"Weapon, Turret",2278,No,No,Yes,No,No,,,,,
GuidedPlasmaGun,Guided Plasma Gun,Fires a set of 6 plasma shots that weave and tend to move where your cursor is. Available only to rotating ships.,,Pending,"Damage: #color{255,0,0}420#dcolor{}\nEnergy Consumption: #color{255,255,0}4#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}420#dcolor{}\nRange:0",Small,3,Weapon,1012,No,Yes,No,No,No,,,,,
PhotonBarrageUtil,Photon Barrage II,"Unleashes a devastating barrage of photon torpedoes around the ship, homing in on any enemy targets. This model can be installed in more ship slots.",,Pending,"Damage: #color{255,0,0}54#dcolor{}\nEnergy Consumption: #color{255,255,0}8#dcolor{}\nCooldown: #color{255,255,0}10#dcolor{} Sec\nShots per burst: #color{255,0,0}90#dcolor{}\nDPS: #color{255,0,0}486#dcolor{}\nRange:0",Small,9,"Weapon, Turret, Utility",5125,No,No,No,No,No,Yes,,,,
PhotonBarrageWeapon1,Photon Barrage I,"Unleashes a devastating barrage of photon torpedoes around the ship, homing in on any enemy targets.",,Pending,"Damage: #color{255,0,0}54#dcolor{}\nEnergy Consumption: #color{255,255,0}8#dcolor{}\nCooldown: #color{255,255,0}10#dcolor{} Sec\nShots per burst: #color{255,0,0}90#dcolor{}\nDPS: #color{255,0,0}486#dcolor{}\nRange:0",Small,7,"Weapon, Turret",5125,No,No,No,No,No,Yes,,,,
PhotonTorpedoLauncher1,Photon Torpedo Launcher,"Launches a barrage of photon torpedoes, tracking and exploding in a small radius.",,Pending,"Damage: #color{255,0,0}24#dcolor{}\nEnergy Consumption: #color{255,255,0}6#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nShots per burst: #color{255,0,0}5#dcolor{}\nDPS: #color{255,0,0}240#dcolor{}\nRange:2500",Small,5,"Weapon, Turret",2278,No,No,Yes,No,No,,,,,
PileOfJunk,Pile Of Junk,"Whatever this was before, it is now junk.",,,,Small,11,"Generator, Shield, Utility, MainEngine",100,No,No,No,No,Yes,,,,,
PushItem1,Shockwave Emitter,"Emits a shockwave, pushing away all objects.",,,,Small,3,Utility,6000,No,No,No,No,Yes,,,,,
StunImmunity,EMP Protection,Protects the ship against EMP blasts from the inventory.,,Pending,,Small,6,Utility,10000,No,No,Yes,No,No,,,,,
MissileLauncher3,Missile Launcher II,Fires rockets or guided missiles. This launcher splits the projectile into three shots with no additional ammo usage.,,,"#color{255,255,0}Ammo Type Weapon#dcolor{}\n\n\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nShots per burst: #color{255,0,0}3#dcolor{}\nAmmo Type: #color{255,255,0}Missiles#dcolor{}",Small,3,"Weapon, Turret",1518,No,Yes,Yes,No,No,,,,,
MissileLauncher5,Missile Launcher III,Fires fast rockets or guided missiles. This launcher splits the projectile into six shots with no additional ammo usage.,,,"#color{255,255,0}Ammo Type Weapon#dcolor{}\n\n\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nShots per burst: #color{255,0,0}3#dcolor{}\nAmmo Type: #color{255,255,0}Missiles#dcolor{}",Small,5,"Weapon, Turret",3417,No,Yes,Yes,No,No,,,,,
AttackDronesBay,Attack Drones Bay,Launches 4 drones which seek out and attack the nearest enemy ship.,Launch fighters!,,"\nEnergy Consumption: #color{255,255,0}3#dcolor{}\nCooldown: #color{255,255,0}10#dcolor{} Sec\nShots per burst: #color{255,0,0}4#dcolor{}\nRange:9000",Small,2,Utility,200,No,Yes,No,No,No,,,,,
BigLaser,B.F.L,"After a short delay, fires a big laser which destroys anything it hits.",Falcon Laser!,,"Damage: #color{255,0,0}450#dcolor{}\nCooldown: #color{255,255,0}1.5#dcolor{} Sec\nShots per burst: #color{255,0,0}30#dcolor{}\nDPS: #color{255,0,0}9000#dcolor{}\nRange:0",Large,7,Weapon,5125,No,No,No,No,No,Yes,,,,
Flamethrower,Flamethrower,A short range flamethrower which more damage the closer you are.,,,"Damage: #color{255,0,0}3#dcolor{}\nEnergy Consumption: #color{255,255,0}10#dcolor{}\nCooldown: #color{255,255,0}0.02#dcolor{} Sec\nDPS: #color{255,0,0}162#dcolor{}\nRange:0",Small,4,"Weapon, Turret",4554,Yes,No,No,No,No,,,,,
MiniMissileLauncher,Energy-Missile Launcher,"An energy based missile launcher, firing energy based missiles without ammo at a cost of a lower rate of fire.",,,"Damage: #color{255,0,0}90#dcolor{}\nEnergy Consumption: #color{255,255,0}200#dcolor{}\nCooldown: #color{255,255,0}4#dcolor{} Sec\nShots per burst: #color{255,0,0}5#dcolor{}\nDPS: #color{255,0,0}113#dcolor{}\nRange:1580",Small,3,"Weapon, Turret",5000,No,No,Yes,No,No,,,,,
MissileLauncher1,Missile Launcher I,Fires slow moving rockets or guided missiles.,,,"#color{255,255,0}Ammo Type Weapon#dcolor{}\n\n\nCooldown: #color{255,255,0}1#dcolor{} Sec\nAmmo Type: #color{255,255,0}Missiles#dcolor{}",Small,1,"Weapon, Turret",675,No,Yes,Yes,No,Yes,,,,,
MineLauncher,Mine Launcher,Launches a mine in the direction the ship is moving.,What's mine is yours.,Pending,"#color{255,255,0}Ammo Type Weapon#dcolor{}\n\n\nCooldown: #color{255,255,0}1#dcolor{} Sec\nAmmo Type: #color{255,255,0}Mines#dcolor{}",Small,2,"Weapon, Turret",1000,No,No,No,No,Yes,,,,,
BlinkItem,Sniper gun,,,Pending,"Damage: #color{255,0,0}300#dcolor{}\nEnergy Consumption: #color{255,255,0}120#dcolor{}\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nDPS: #color{255,0,0}600#dcolor{}\nRange:3000",Small,3,"Weapon, Turret",2024,,,,,,,,,,
CloakingImbue,Cloaking Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Cloaking\n\n#color{255,255,0}Cooldown: #dcolor{}30 Sec",,Pending,,Small,2,Consumable,1000,,,,,,,,,,
TauntImbue,Taunt Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Taunt\n\n",,Pending,,Small,5,Consumable,1500,,,,,,,,,,
BarrageImbue,Avenging Missiles Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Shots 20 homing missiles\n\n#color{255,255,0}Trigger: #dcolor{}Destruction\n\n#color{255,255,0}Cooldown: #dcolor{}30 Sec",,Pending,,Small,2,Consumable,1000,,,,,,,,,,
BerserkImbue,Berserk Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Greatly increase energy generation for 20 sec\n\n#color{255,255,0}Trigger: #dcolor{}Low hitpoints\n\n#color{255,255,0}Cooldown: #dcolor{}60 Sec",,Pending,,Small,3,Consumable,1500,,,,,,,,,,
EmpImbue,EMP Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Stun nearby enemies for 8 sec\n\n#color{255,255,0}Trigger: #dcolor{}Low energy\n\n#color{255,255,0}Cooldown: #dcolor{}45 Sec",,Pending,,Small,4,Consumable,1500,,,,,,,,,,
LifelineImbue,Lifeline Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Restores hitpoints and shield\n\n#color{255,255,0}Trigger: #dcolor{}Low hitpoints\n\n#color{255,255,0}Cooldown: #dcolor{}60 Sec",,Pending,,Small,3,Consumable,1500,,,,,,,,,,
PushImbue,Shockwave Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Push nearby objects\n\n#color{255,255,0}Trigger: #dcolor{}Receiving damage\n\n#color{255,255,0}Cooldown: #dcolor{}30 Sec",,Pending,,Small,1,Consumable,500,,,,,,,,,,
StunImuneImbue,Stun Imune Component,"Used to imbue a shield or a generator with a passive ability\n#line{}#color{255,255,0}Ability: #dcolor{}Makes you imune to stun\n\n#color{255,255,0}Trigger: #dcolor{}On Stun\n\n#color{255,255,0}Cooldown: #dcolor{}60 Sec",,Pending,,Small,5,Consumable,1500,,,,,,,,,,
Artillery,Artillery I,A long range artillery blast which deals high damage to an area after a delay.,,,"\nEnergy Consumption: #color{255,255,0}10#dcolor{}\nCooldown: #color{255,255,0}5#dcolor{} Sec\nRange:0",Small,4,"Weapon, Turret",4554,No,No,No,No,Yes,,,,,
RotationLockItem,Rotation Lock,Locks the rotation of a ship.,,,,Small,2,"Rotation, Utility",1000,No,No,No,No,Yes,,,,Yes,
ShortEnergyDrainBeam,Leech Beam,Drains the energy from the target. This does not give you the energy.,,Pending,"\nEnergy Consumption: #color{255,255,0}1#dcolor{}\nCooldown: #color{255,255,0}0.02#dcolor{} Sec\nRange:1000",Small,11,"Weapon, Turret",200,No,Yes,No,No,No,,,,,
FlareItem,Flare System,"Deploys flares all around the ship, drawing the attention of any homing projectile.",,,"\nEnergy Consumption: #color{255,255,0}10#dcolor{}\nCooldown: #color{255,255,0}8#dcolor{} Sec\nShots per burst: #color{255,0,0}15#dcolor{}\nRange:0",Small,4,Utility,4554,No,No,No,No,Yes,,,,,
HealingBeam,Healing Beam,Fires a beam which heals the hitpoints of a ship.,,,"\nEnergy Consumption: #color{255,255,0}1#dcolor{}\nCooldown: #color{255,255,0}0.02#dcolor{} Sec\nRange:1000",Small,2,"Weapon, Turret",200,No,Yes,Yes,No,No,,,,,
RicochetBlaster,Ricochet Blaster,,,Pending,"Damage: #color{255,0,0}10#dcolor{}\nEnergy Consumption: #color{255,255,0}30#dcolor{}\nCooldown: #color{255,255,0}0.17#dcolor{} Sec\nDPS: #color{255,0,0}60#dcolor{}\nRange:0",Small,2,"Weapon, Turret",2000,,,,,,,,,,
VoidBeam,Void Beam,,,Rework needed. Similar to mining laser.,"Damage: #color{255,0,0}3#dcolor{}\nEnergy Consumption: #color{255,255,0}1#dcolor{}\nCooldown: #color{255,255,0}0.02#dcolor{} Sec\nDPS: #color{255,0,0}180#dcolor{}\nRange:5000",Small,11,"Weapon, Turret",200,No,No,No,No,No,Yes,,,,
PulseBeam,Pulse Beam,,,Pending,"Damage: #color{255,0,0}450#dcolor{}\nCooldown: #color{255,255,0}3#dcolor{} Sec\nDPS: #color{255,0,0}150#dcolor{}\nRange:2000",Medium,4,"Weapon, Turret",200000,,,,,,,,,,
TensorCannon,Tensor Cannon,"After a short delay, fires a medium range laser  for heavy damage.",,Pending,"Damage: #color{255,0,0}450#dcolor{}\nCooldown: #color{255,255,0}3#dcolor{} Sec\nDPS: #color{255,0,0}150#dcolor{}\nRange:2000",Medium,6,"Weapon, Turret",200000,No,No,No,No,No,,,,,
AdvancedArmoryKit,Advanced Armory,Enables the crafting of advanced weapons.,,Pending,,Small,5,"Consumable, CraftingStation",2000,No,No,No,No,Yes,,,,,
AdvancedCraftingStationKit,Advanced Crafting Station,Enables crafting of advanced items.,,Pending,,Small,5,"Consumable, CraftingStation",2000,No,No,No,No,Yes,,,,,
AdvancedForgeKit,Advanced Forge,"Do not craft, currently does not allow crafting.",,Pending (Places a Forge near you. Use it to advanced basic items.),,Small,10,"Consumable, CraftingStation",2000,No,No,No,No,Yes,,,,,
ArmoryKit,Armory,Enables advanced weapons crafting.,,Pending,,Small,1,"Consumable, CraftingStation",100,No,No,No,No,Yes,,,,,
CraftingStationKit,Crafting Station,"Enables crafting of standard equipment, including engines, shields, generators, and more. Also enables crafting of advanced stations. All stations can be deployed but work best from the mothership's inventory.",,Pending,,Small,1,"Consumable, CraftingStation",100,No,No,No,No,Yes,,,,,
ForgeKit,Forge,Places forge near you.,,Pending,,Small,3,"Consumable, CraftingStation",100,No,No,No,No,Yes,,,,,
MiningStationKit,Mining Station,Places Mining Station near you.,,Pending,,Small,10,"Consumable, CraftingStation",100,No,No,No,No,Yes,,,,,
VanityCraftingStationKit,Vanity Crafting Station,Places Vanity Crafting Station.,,Pending,,Small,4,"Consumable, CraftingStation",100,No,No,No,No,Yes,,,,,
WormEggItem,Suspicious Looking Egg,May cause terrible things to happen!,Rotten to the core.,,,Small,5,Consumable,2000,No,No,Yes,No,No,,,,,
AsteroidGrinderItem,Asteroid Grinder I,Surroundings an ship with an aura which grinds down asteroids it touches. Works from the inventory.,,,,Small,3,Utility,800,No,No,No,No,Yes,,,,,
HarpoonGun,Harpoon Gun,"Launches a harpoon, hooking into the target and dragging it back to you.",Get over here!,,"Damage: #color{255,0,0}100#dcolor{}\nEnergy Consumption: #color{255,255,0}60#dcolor{}\nCooldown: #color{255,255,0}2.5#dcolor{} Sec\nDPS: #color{255,0,0}40#dcolor{}\nRange:1300",Small,5,"Weapon, Turret",1600,No,No,No,Yes,No,,,,,
KineticMineLauncher,Kinetic Mine Launcher,"Launches kinetic mines, dealing damage based on the speed of the impact.",,,"Damage: #color{255,0,0}3#dcolor{}\nCooldown: #color{255,255,0}4#dcolor{} Sec\nDPS: #color{255,0,0}1#dcolor{}\nRange:1600",Small,2,"Weapon, Turret",1000,No,No,No,Yes,No,,,,,
StarDestroyerItem,Star Destroyer,An experimental weapon. Designed to cause a supernova if fired on a star.,,,"Damage: #color{255,0,0}450#dcolor{}\nCooldown: #color{255,255,0}3#dcolor{} Sec\nDPS: #color{255,0,0}150#dcolor{}\nRange:2000",Medium,6,"Weapon, Turret",200000,No,No,No,No,No,Yes,,,,
EchoSprintItem,Echo Sprint,Gives you a short speed boost in current direction your ship is moving.,,,,Small,2,Utility,850,No,No,No,No,Yes,,,,,
RewindDevice,Rewind Device,,,Rework,,Small,10,Utility,2,,,,,,,,,,
SpaceBrake,Space Brake,Uses the fabric of spaces to slow down the ship.,,Pending,,Small,1,Utility,800,No,No,No,No,Yes,,,,Yes,
SprintItem,Speed Booster,Gives you a short speed boost in the direction of the cursor.,,,,Small,2,Utility,700,No,No,No,No,Yes,,,,,
SpaceLampKit,Space Lamp,"Deploys a lamp, in space!",,Rework,,Small,2,Consumable,1000,No,No,No,No,Yes,,,,,
StorageContainerKit,Storage Container,Places a container that can store items.\n#hcolor{}To deploy place one of the first four slots in your inventory#dcolor{},,Rework,,Small,1,Consumable,2000,No,No,No,No,Yes,,,,,
ImbuingStationKit,Imbuing Station,"Places a #color{255,255,0}Imbuing Station#dcolor{} near you.",,,,Small,1,Consumable,2000,No,No,No,No,Yes,,,,,
GuideStationKit,Material Analyzer,"Places a #color{255,255,0}Material Analyzer#dcolor{} near you.",,,,Small,1,Consumable,2000,No,No,No,No,Yes,,,,,
Cmp1,Quantum Carburetor,Essential to powering advanced mechanical devices.,Requires a microverse battery to function.,,,Small,1,None,500,,,,,,,,,,
Cmp2,Omnisprocket,,,,,Small,2,None,750,,,,,,,,,,
Cmp3,Space Freshener,,,,,Small,3,None,1000,,,,,,,,,,
Cmp4,Resonance Fusor,,,,,Small,4,None,1250,,,,,,,,,,
Cmp5,Meson Blender,,,,,Small,5,None,1500,,,,,,,,,,
Cmp6,Dissonance Fusor,,,,,Small,6,None,1750,,,,,,,,,,
Cmp7,Metaspace Interocitor,,,,,Small,7,None,2000,,,,,,,,,,
Cmp8,Sonic Transudcer,,,,,Small,8,None,2250,,,,,,,,,,
Cmp9,Hypercoil,,,,,Small,9,None,2500,,,,,,,,,,
Cmp10,Flux Capacitor,,,,,Small,10,None,2750,,,,,,,,,,
Chip,Communication Chip ,,,,,Small,3,None,200,,,,,,,,,,
ChipLithography,Chip Lithography,,,,,Small,3,None,100,,,,,,,,,,
Biomass,Biomass,,,,,Small,2,None,100,,,,,,,,,,
Steel,Steel,,,,,Small,1,None,200,,,,,,,,,,
Hydro,Hydro,,,,,Small,2,None,150,,,,,,,,,,
ComChip,Chip,,,,,Small,2,None,150,,,,,,,,,,
Lumite,Lumite,,,,,Small,2,None,350,,,,,,,,,,
StarDrive,Star Drive,,,,,Small,3,None,2000,,,,,,,,,,
NebulaGas,Noble Gas,Extracted from gas clouds,,,,Small,3,None,200,,,,,,,,,,
Obsidian,Obsidian,Turns out Obsidian is very useful in the future,,,,Small,4,None,600,,,,,,,,,,
InhibitorCore,Inhibitor Core,,,,,Small,2,None,1000,,,,,,,,,,
MinerCore,Ancient Miner Core,,,,,Small,3,None,1000,,,,,,,,,,
LivingCore,Living Core,,,,,Small,4,None,200,,,,,,,,,,
GuardianCore,Guardian Core,,,,,Small,5,None,4000,,,,,,,,,,
LightCore,Light Core,,,,,Small,6,None,4000,,,,,,,,,,
Plasma,Plasma,,,,,Small,4,None,200,,,,,,,,,,
Human,Escape Pod,,,,,Small,2,None,150,,,,,,,,,,
HumanRemains,Human Remains,,,,,Small,2,None,50,,,,,,,,,,
MatA1,Iron,,,,,Small,1,None,10,,,,,,,,,,
MatA2,Copper,,,,,Small,2,None,15,,,,,,,,,,
MatA3,Silver,,,,,Small,3,None,22,,,,,,,,,,
MatA4,Gold,,,,,Small,4,None,33,,,,,,,,,,
MatA5,Platinum,,,,,Small,5,None,50,,,,,,,,,,
MatA6,Titanium,,,,,Small,6,None,75,,,,,,,,,,
MatB1,Carbon,,,,,Small,1,None,20,,,,,,,,,,
MatB2,Silicon,,,,,Small,2,None,30,,,,,,,,,,
MatB3,Galium,,,,,Small,3,None,45,,,,,,,,,,
MatB4,Arsenic,,,,,Small,4,None,67,,,,,,,,,,
MatB5,Neodymium,,,,,Small,5,None,100,,,,,,,,,,
MatB6,Selenium,,,,,Small,6,None,150,,,,,,,,,,
MatC1,Ruby,,,,,Small,1,None,10,,,,,,,,,,
MatC2,Emerald,,,,,Small,2,None,15,,,,,,,,,,
MatC3,Sapphire,,,,,Small,3,None,22,,,,,,,,,,
MatC4,Topaz,,,,,Small,4,None,33,,,,,,,,,,
MatC5,Amethyst,,,,,Small,5,None,50,,,,,,,,,,
MatC6,Diamond,,,,,Small,6,None,75,,,,,,,,,,
BasicGenerator,Stock Reactor,Provides energy for ship systems.,,Pending,"Capacity: #color{0,0,255}1600#dcolor{}\n\nGeneration: #color{255,255,0}90#dcolor{} / s\n",Small,0,Generator,0,No,No,No,No,Yes,,,,,
SmallExpandedGenerator,Reactor,Provides energy for ship systems.,,Pending,"Capacity: #color{0,0,255}3600#dcolor{}\n\nGeneration: #color{255,255,0}180#dcolor{} / s\n",Small,11,Generator,1000,No,No,No,No,Yes,,,,,
