Id,Text,Image*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*,Sound*,Plot
smTutorialIntroduceActivationsEnd3_REMOVED,"I have already taken your schematics of the ship in the event of your destruction. \nWe can produce a copy of your vessel here at this mothership, although it takes time. \nI will also try and recover your equipment as well.",AID,smTutorialIntroduceActivationsEnd4,TRUE,TRUE,,,,
smTutorialIntroduceActivationsEnd4_REMOVED,I take it I'll be fine if that happens since I can freely swap control with ships. \nBut what happens if this mothership is destroyed?,Player,smTutorialIntroduceActivationsEnd5,TRUE,TRUE,,,,
smTutorialIntroduceActivationsEnd5_REMOVED,Do not let that happen as you are located here as well.,AID,smTutorialIntroduceActivationsEnd6,TRUE,TRUE,,,,
smTutorialIntroduceActivationsEnd6_REMOVED,"Noted, no hangar, no home.",Player,smTutorialIntroduceActivationsEnd7,TRUE,TRUE,,,,
smTutorialIntroduceActivationsEnd7_REMOVED,"You will be restored to your latest checkpoint if the mothership is destroyed. \nIf you're in a dangerous spot where the mothership is endangered, escaping is a good idea.",Help,,TRUE,TRUE,,"Codex Entry: Consumables, Your Mothership. AKA DO NOT DIE",,
,,,,,,,,,
# Go To The Starport,,,,,,,"A skip prologue button would be really good to get here. Would help in testing too. If so, ship is decked out with all equipment slots full, and some health repair kits. Plus some resources such as ruby and iron and carbon.",,
smMainGoToStarportActiveTitle,Thank You For Contacting Spaceport Support,,,,,,,,
smMainGoToStarportActiveInfo,Go to the Starport,,,,,,,,
smMainGoToStarport,Thank You For Contacting Spaceport Support,,,,,,,,
smMainGoToStarportInfo,A message has been received but AID is unable to be decode it for me. My communication chip needs to be replaced to read this. The nearby starport might have some leads to solve this.,,,,,,,,
smMainGoToStarportStart1,"Is that everything? My ship is capable of things again, and your mothership is protected.",Player,smMainGoToStarportStart2,TRUE,TRUE,,,,
smMainGoToStarportStart2,I will let you know if anything is needed.,AID,smMainGoToStarportStart3,TRUE,TRUE,,,,
smMainGoToStarportStart3,Great. Now my goal is... finding out how I got here? Seems like a good first goal.,Player,smMainGoToStarportStart4,TRUE,TRUE,,,,
smMainGoToStarportStart4,"I have a lead which may be of help. \nWhile restoring your vessel's systems, you received a message from an unknown source.",AID,smMainGoToStarportStart5,TRUE,TRUE,,,,
smMainGoToStarportStart5,I do not recognize it from any of the major factions. \nReplacing your damaged communications chip will be needed to decode this.,AID,smMainGoToStarportStart6,TRUE,TRUE,,,,
smMainGoToStarportStart6,You can't just read it to me? And our communications are working just fine.,Player,smMainGoToStarportStart7,TRUE,TRUE,,,,
smMainGoToStarportStart7,Encryption is present which I haven't encountered before.\nYour basic communication systems are functioning but not to handle any messages like this.,AID,smMainGoToStarportStart8,TRUE,TRUE,,,,
smMainGoToStarportStart8,An old starport is nearby. I suggest going there to inquire where to obtain a new chip.,AID,,TRUE,TRUE,,,,
smMainGoToStarportEnd1,"Welcome to the Solar Conflict starport! \nMy name is Laura, how can I help you?",Laura,smMainGoToStarportEnd2,TRUE,TRUE,,,,
smMainGoToStarportEnd2,"Hello Laura! I'm someone who needs a new communication chip since mine seems incinerated. \nWould you know where to get a new one, or fix my old one?",Player,smMainGoToStarportEnd3,TRUE,TRUE,,,,
smMainGoToStarportEnd3,"Unfortunately, we do not have spare parts at this station for fixing your communications. \nHowever, nearby there is a shop owned by someone named Gustav. \nThey may be able to assist you with that.",Laura,smMainGoToStarportEnd4,TRUE,TRUE,,,,
smMainGoToStarportEnd4,"That is, if you can convince him to sell to you instead of shooting you. \nI'm sending you his coordinates in any case. \nGood luck! Is there anything else?",Laura,smMainGoToStarportEnd5,TRUE,TRUE,,,,
smMainGoToStarportEnd5,Not at the moment. Appreciate the lead and warning. Thanks Laura!,Player,,TRUE,TRUE,,Codex Entry: Starport. Maybe not starport in each system. Maybe just the first?,,
,,,,,,,,,
# Go To Gustav Shop,,,,,,,,,
smMainGustavShopActiveTitle,Shop In A Bad Part Of Town,,,,,,,,
smMainGustavShopActiveInfo,Go to Gustav's Shop,,,,,,,,
smMainGustavShop,Shop In A Bad Part Of Town,,,,,,,,
smMainGustavShopInfo,"Laura, the spaceport's customer service person has directed you to another shop in the area, Gustav's Shop. It seems not like a standard shop, and there is a threat of being attacked for customers. Maybe not be the best way to do business, but a dream for some shop owners. ",,,,,,"NOTE TO MAYBE ADD: The nearby powerstream, indicated by the arrows, will move ships faster along the path.",,
smMainGustavShopStart1,"Careful, I detect that you may be under threat going to this Gustav's shop. \nPrevious history says this might not be a law-abiding area.",AID,,TRUE,TRUE,,,,
smMainGustavShopEnd1,Hello traveller. You look like you could use some upgrades to your ship.,Gustav_Shop,smMainGustavShopEnd2,TRUE,TRUE,,,,"Gustav's shop owner is some merchant who is either like Marcus from Borderlands or just a deceitful pirate. He doesn't like this. He either sends you to Gustav to die, or wants you to kill Gustav so he can be free. Gustav either intimidates his shop or has it as an illegal business."
smMainGustavShopEnd2,Yes I could use them. I nee-,Player,smMainGustavShopEnd3,TRUE,TRUE,,,,
smMainGustavShopEnd3,"Unfortunately for you, I can only sell to those Gustav the Pirate finds worthy.\nHe's never mentioned you, and I haven't seen you before. ",Gustav_Shop,smMainGustavShopEnd4,TRUE,TRUE,,,,
smMainGustavShopEnd4,Get his approval and then we will talk.\nI'll send you his location now.,Gustav_Shop,,TRUE,TRUE,,,,
,,,,,,,,,
,,,,,,,,,
# Convince Gustav,,,,,,,,,
smMainConvinceGustavActiveTitle,Getting To Yes,,,,,,,,
smMainConvinceGustavActiveInfo,Convince Gustav,,,,,,,,
smMainConvinceGustav,Getting To Yes,,,,,,,,
smMainConvinceGustavInfo,"Gustav's Shop is run not by Gustav, but someone else who says he can only sell to those he finds worthy. Apparently Gustav is also a pirate, which is odd to operate a regular law-abiding shop as a side gig. I need to go speak to Gustav and convince him to sell to me.",,,,,,,,
smMainConvinceGustavStart1,... Why would he even say I could use upgrades if he won't sell them?,Player,,TRUE,TRUE,,,,
smMainConvinceGustavEnd1,Greetings Gusta-,Player,,TRUE,TRUE,,,,
smMainConvinceGustavEnd2,#choice{Fresh meat!!|There will be blood tonight!},Gustav,,TRUE,TRUE,,,,
,,,,,,,,,
,,,,,,,,,
# Convince Gustav,,,,,,,,,
smMainConvinceGustavHardActiveTitle,Beyond Reason,,,,,,,,
smMainConvinceGustavHardActiveInfo,Convince Gustav by Killing Gustav,,,,,,,,
smMainConvinceGustavHard,Beyond Reason,,,,,,,,
smMainConvinceGustavHardInfo,"In negotiations, sometimes you can't compromise. The halfway point between your 'I want to live' to their 'I want you to die' is not half of you dead. It's all of them.",,,,,,,,
smMainConvinceGustavHardStart1,Let the negotiations begin.,Player,,TRUE,TRUE,,,,
smMainConvinceGustavHardEnd1,Pleasure doing business with you.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Loot Gustav,,,,,,,,,
smMainLootGustavActiveTitle,Everyone (Left) Wins,,,,,,,,
smMainLootGustavActiveInfo,Loot Gustav's wreckage,,,,,,,,
smMainLootGustav,Everyone (Left) Wins,,,,,,,,
smMainLootGustavInfo,"While not entirely unforeseeable, this has been a mutually beneficial outcome. At least I would like to think so. His wreckage is a good seal of approval.",,,,,,,,
smMainLootGustavStart1,So much for diplomacy. I'm seeing some salvage near the wreckage of his ship.,Player,,TRUE,TRUE,,,,
smMainLootGustavStart2,"You can do a lot with diplomacy, but with diplomacy backed up by force you can get a lot more done.",AID,,TRUE,TRUE,,,,
smMainLootGustavStart3,"Retrieve the wreckage items, as proof of our diplomatic relations.",AID,,FALSE,TRUE,,Human remains drops,,
smMainLootGustavEnd1,Time to show our credentials back at the shop.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Go Back To Gustav Shop,Back to Gustav's Shop,,,,,,"Gustav shop is either independent shop and happy gustav dead OR sorta working with Gustav, now distancing from that",,
smMainBackToGustavShopActiveTitle,Shop In An Okay Part Of Town,,,,,,,,
smMainBackToGustavShopActiveInfo,Back to Gustav's Shop,,,,,,,,
smMainBackToGustavShop,Shop In An Okay Part Of Town,,,,,,,,
smMainBackToGustavShopInfo,Go back to Gustav's shop and explain the results of your dialogue. This may or may not be the desired outcome from the shop owner.,,,,,,,,
smMainBackToGustavShopEnd1,"Oh, uh, you're back! I think I saw some explosions Gustav's way?",Gustav_Shop,smMainBackToGustavShopEnd2,TRUE,TRUE,,,,
smMainBackToGustavShopEnd2,My words have a profound effect on others.,Player,smMainBackToGustavShopEnd3,TRUE,TRUE,,,,
smMainBackToGustavShopEnd3,"Also I have here a testimony, in person.",Player,smMainBackToGustavShopEnd4,TRUE,TRUE,,,,
smMainBackToGustavShopEnd4,"That was entirely unnecessary, and marks a good time to leave this profession. ",Gustav_Shop,smMainBackToGustavShopEnd5,TRUE,TRUE,,Lose Human Remains,,
smMainBackToGustavShopEnd5,"Well, what are you looking for at this shop then?",Gustav_Shop,smMainBackToGustavShopEnd6,TRUE,TRUE,,,,
smMainBackToGustavShopEnd6,I need a communication chip. I should have asked you if you even had it before this all happened.,Player,smMainBackToGustavShopEnd7,TRUE,TRUE,,,,
smMainBackToGustavShopEnd7,"I got it, see the new #itemname{Chip}#itemicon{Chip} which I have in my store.",Gustav_Shop,,TRUE,TRUE,,,,
,,,,,,,,,
# Buy The Communication Chip,Buy the communication chip,,,,,,,,
smMainBuyChipActiveTitle,Wrong Number,,,,,,,,
smMainBuyChipActiveInfo,Buy the communication chip from the store to decipher the transmission,,,,,,,,
smMainBuyChip,Wrong Number,,,,,,,,
smMainBuyChipInfo,"To interact with the shop place your #color{255,255,0}mouse cursor#dcolor{} over the #color{255,255,0}shop#dcolor{} #image{smallshop1} and press #action{Use}. Similar to interacting with motherships and stations, this allows you to see what they have for sale. All purchases require credits, obtained through the destruction of ships, completion of missions, selling of goods, and various other means.",,,,,,,,
smMainBuyChipStart1,"Place your #color{255,255,0}mouse cursor#dcolor{} over the #color{255,255,0}shop#dcolor{} #image{smallshop1} and press #action{Use}.",Help,,TRUE,FALSE,,,,
smMainBuyChipEnd1,"Excellent! I can fix your unique communication system with this chip. \nInstalling it, and routing decryption information over from your ship to the mothership...",AID,smMainBuyChipEnd2,TRUE,TRUE,,,,
smMainBuyChipEnd2,"Systems are restored, and transmission is decoded. Playing the message...",AID,smMainBuyChipEnd3,TRUE,TRUE,,,,
smMainBuyChipEnd3,"The Arbitum sun was destroyed using our new prototype. \nIt will change the balance of power. \nAll vessels, report immediately to the Sol system.",Void,smMainBuyChipEnd4,TRUE,TRUE,,,,
smMainBuyChipEnd4,That is a weird message. I somehow feel involved in this debacle.,Player,smMainBuyChipEnd5,TRUE,TRUE,,,,
smMainBuyChipEnd5,I have been picking up transmissions regarding a destroyed sun but have been unable to confirm.\nThe energy that damaged the mothership matches solar mass.\nI don't know what would have cause that to appear there.,AID,smMainBuyChipEnd6,TRUE,TRUE,,,,
smMainBuyChipEnd6,"If this is the case, this message may be directly about you.\nIt is concerning to be involved in the destruction of something so important.",AID,smMainBuyChipEnd7,TRUE,TRUE,,,,
smMainBuyChipEnd7,I don't remember it clearly. It looks like we need to get to Sol to find out more.,Player,smMainBuyChipEnd8,TRUE,TRUE,,,,
smMainBuyChipEnd8,"We need a working #color{255,255,0}star drive#dColor{} for the mothership. \nThis will open up travel between systems for all ships under our control.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Meet the Drifter,,,,,,,Disable Inventory for Drifter for now,,
smMainMeetDrifterActiveTitle,Loners Gotta Stick Together,,,,,,,,
smMainMeetDrifterActiveInfo,Meet the lone spacer,,,,,,,,
smMainMeetDrifter,Loners Gotta Stick Together,,,,,,,,
smMainMeetDrifterInfo,"Transmissions are picking up a drifter, a lone spacer travelling around nearby. Based on the logs from AID, they've had recent conflicts recently, and this ship is all that remains. Space seems dangerous for individual pilots on their own, or even groups of ships if you aren't prepared. AID suggests we can recruit this one, which would be a welcomed addition.",,,,,,,,
smMainMeetDrifterStart1,I wouldn't mind if 'all ships' would be more than just us two.,Player,smMainMeetDrifterStart2,TRUE,TRUE,,,,
smMainMeetDrifterStart2,"I have a potential remedy to this. I've been picking up scans and transmissions from a nearby vessel. \nIt's a mercenary that has been around for some time, but without its usual escorts. \nYou should approach it.",AID,smMainMeetDrifterStart3,TRUE,TRUE,,,,
smMainMeetDrifterStart3,Why do you think a random ship nearby would join us?,Player,smMainMeetDrifterStart4,TRUE,TRUE,,,,
smMainMeetDrifterStart4,"There was a large scale battle in this region not long ago.\nCurrently it is alone and moves from point to point nearby, without a perceived purpose.\nI will estimate it could have a good reason to group up again.",AID,smMainMeetDrifterStart5,TRUE,TRUE,,,,
smMainMeetDrifterStart5,Worth a shot while we're here.,Player,,TRUE,TRUE,,,,
smMainMeetDrifterEnd1,"Greetings!\nI've been drifting out here, not knowing what to do ever since Gustav's boys wiped out my whole crew.\nOnly I survived.",Drifter,smMainMeetDrifterEnd2,TRUE,TRUE,,,,
smMainMeetDrifterEnd2,Gustav is over at his shop right now.,Player,smMainMeetDrifterEnd3,TRUE,TRUE,,,,
smMainMeetDrifterEnd3,"I know where he is, but it's just me and I canno-",Drifter,smMainMeetDrifterEnd4,TRUE,TRUE,,,,
smMainMeetDrifterEnd4,A few parts of him fell off in my cargo bay while I was bringing him there.,Player,smMainMeetDrifterEnd5,TRUE,TRUE,,,,
smMainMeetDrifterEnd5,That visual brings a harmonious feeling with a dash of trauma.,Drifter,smMainMeetDrifterEnd6,TRUE,TRUE,,,,
smMainMeetDrifterEnd6,"If you can do that, you're packing some serious punch. \nI'd be extremely grateful if you could help me get payback with his remaining fleet. \nI'll even make it worth your while... What do you say?",Drifter,smMainMeetDrifterEnd7,TRUE,TRUE,,,,
smMainMeetDrifterEnd7,I won't say no to any justified violence paired with a reward.,Player,smMainMeetDrifterEnd8,TRUE,TRUE,,,,
smMainMeetDrifterEnd8,Love that enthusiasm! Syncing a connection with you so we're now in the same crew.,Drifter,smMainMeetDrifterEnd9,TRUE,TRUE,,NOTE: Flag Drifter as allied now.,,PLOT: This makes the drifter connected
smMainMeetDrifterEnd9,Let's go!!!,Drifter,,TRUE,TRUE,,,,
,,,,,,,,,
# Drifter Dies,,,,,,,,,
eDrifterDeadActiveTitle,,,,,,,,,
eDrifterDeadActiveInfo,,,,,,,,,
eDrifterDead,,,,,,,#choice{Tell my wife... goodbye...|My spleen!|BARF!|... I don't feel so good...},,
eDrifterDeadInfo,,,,,,,,,
eDrifterDeadEnd1,BARF!,Drifter,,TRUE,TRUE,,Trigger: Drifter Dies,,
eDrifterDeadEnd2,Here we go again!,Drifter,,TRUE,TRUE,,Trigger: Respawns,,
eDrifterDeadEnd3,How did he come back?,Player,,,,,,,
eDrifterDeadEnd4,"When he syncronized with our fleet, I made a copy of his genetic profile.",AID,,TRUE,TRUE,,,,
eDrifterDeadEnd5,"With that, it was easy to not only replicate his ship, but to clone him as well.",AID,,,,,,,
eDrifterDeadEnd6,I don't even know what to say to that right now. What mothership just has this ability on hand?,Player,,,,,,,
eDrifterDeadEnd7,This mothership was created to handle many tasks. Cloning is one of many abilities on my many metaphoric hands.,AID,,,,,,,
,,,,,,,,,
# Introduce Fleet Commands,,,,,,,,,
smMainDrifterFleetCommandsActiveTitle,Follow Me!,,,,,,,,
smMainDrifterFleetCommandsActiveInfo,Issue fleet commands,,,,,,,,
smMainDrifterFleetCommands,Follow Me!,,,,,,,,
smMainDrifterFleetCommandsInfo,Issuing fleet commands can help direct forces to prioritize what you need. Issue commands on yourself to have all ships follow you.,,,,,,I need to ask more about fleet commands before I fill this out.,,
smMainDrifterFleetCommandsStart1,"Wait, lets hold on a moment!",Player,,TRUE,TRUE,,,,
smMainDrifterFleetCommandsStart2,Press #action{CallHelp} on your ship to issue a fleet command to follow you.,,,FALSE,FALSE,,NOTE: We need to give a place where players know what fleet commands there are.,,
smMainDrifterFleetCommandsEnd1,"Whoa, got a little carried away there.",Drifter,,TRUE,TRUE,,,,
,,,,,,,,,
# Destroy the Rest of Gustav's Fleet,,,,,,,,,
smMainDestroyGustavFleetActiveTitle,Going Under,,,,,,,,
smMainDestroyGustavFleetActiveInfo,Help the drifter destroy the rest of Gustav's fleet,,,,,,,,
smMainDestroyGustavFleet,Going Under,,,,,,,,
smMainDestroyGustavFleetInfo,"Two ships vs three. Make sure to issue fleet commands if need be to target any specific ship, or to follow your lead to not get separated. Don't be afraid to back off if you take too much incoming damage. Utilize any repair kits if needed. ",,,,,,,,
smMainDestroyGustavFleetStart1,"Tactical approach, not going in one at a time.",AID,,TRUE,TRUE,,,,
smMainDestroyGustavFleetEnd1,We killed his fleet... finally some revenge! May my crew rest in peace... as I can rest easy too.,Drifter,,TRUE,TRUE,,"As a portion of my thanks, here are some items me and my crew no longer need.",,
smMainDestroyGustavFleetEnd2,"Alert, pirates are attacking the mothership.",AID,,TRUE,TRUE,,,,
smMainDestroyGustavFleetEnd3,On my way back.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Ship Swapping (no prior deaths),Introduces swapping between ships,,,,,,,,
smMainIntroduceShipSwapZeroDeathsActiveTitle,You And You,,,,,,,,
smMainIntroduceShipSwapZeroDeathsActiveInfo,Switch control to the mothership,,,,,,,,
smMainIntroduceShipSwapZeroDeaths,You And You,,,,,,,,
smMainIntroduceShipSwapZeroDeathsInfo,AID has synchronized your systems with the mothership while you were initially getting repaired. This allows you to swap control between your current vessel and the mothership. This is useful when requiring certain actions such as targeting specific enemies or timing the usage of equipment. Ships that may join your fleet will also allow this action to be done. Ships that do not actively have you as the pilot will be automatically handled by AID or the corresponding pilot.,,,,,,,,
smMainIntroduceShipSwapZeroDeathsStart1,Won't be necessary. This is a good time to inform you of ship swapping. \nI have recently finished syncing with your ship and systems.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart2,You've finished what now?,Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart3,Syncing with your systems. You were not able to detect this when I installed this connection? \nOr transferred your hardware to the mothership?,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart4,I told you earlier that you were located here. No feeling when I transferred your hardware to the mothership?,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart5,I can't feel it when you touch my hardware at all! \nYou literally carted my systems over?,Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart6,"This sync will enable you to swap control focus between your ship, and the mothership.\nWhile I can defend normally, there may be times where your guidance is required.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart7,For now this is a safe enough demonstration.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsStart8,"Press #action{SwapUp} to swap ship control until you select the #color{255,255,0}mothership#dcolor{}.",AID,,TRUE,FALSE,,TODO: Fix text for action key,,
smMainIntroduceShipSwapZeroDeathsEnd1,"An odd feeling to change perspectives, but very useful.",Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd2,"Control will also be available if additional ships come under your control, such as your new companion. \nYour primary hub would be the mothership for control.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd3,Why are you allowing me this control?,Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd4,This is a tactically advantageous ability for conflict.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd5,"No, I mean, why are you assisting me in giving partial control over your mothership? \nIt isn't normal to trust another system who torched your defenses a few hours ago. ",Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd6,My analysis is that your advanced AI would provide the highest chance of long-term survival.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd7,"The risk is too high to try this with just anyone, then potentially be destroyed with their failure. \nYou have extreme potential for the future.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd8,It is also boring to be alone for so long.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd9,"In return, I will assist you in your objectives, which will lead to increase this mothership's power and safety. \nYour safety is heightened with this added defense.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapZeroDeathsEnd10,"Aside from going to Sol, I don't even know my objectives, or what I mean to do.",Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Ship Swapping (died before this ),Introduce swapping between ships,,,,,,,,
smMainIntroduceShipSwapDiedBeforeActiveTitle,You And You,,,,,,,,
smMainIntroduceShipSwapDiedBeforeActiveInfo,Switch control to the mothership,,,,,,,,
smMainIntroduceShipSwapDiedBefore,You And You,,,,,,,,
smMainIntroduceShipSwapDiedBeforeInfo,Info on ship swapping,,,,,,,,
smMainIntroduceShipSwapDiedBeforeStart1,"That won't be required, although this is a good time to inform you of ship swapping. \nI have recently finished syncing with your ship and systems.",Player,,TRUE,FALSE,,,,
smMainIntroduceShipSwapDiedBeforeStart2,Weren't you before?,Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeStart3,"Not entirely. While we brought you onboard, more control could be done.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeStart4,"This sync will enable you to swap control focus between your ship, and the mothership if needed. \nWhile I can defend this platform provided the proper support is present, \nthere may be strategic times where your direction is required.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeStart5,For now this is a safe enough demonstration.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeStart6,Press #action{SwapUp} to swap ship control.,AID,,TRUE,FALSE,,TRIGGER: Swap to mothership,,
smMainIntroduceShipSwapDiedBeforeEnd1,"That wasn't so bad. Actually, this seems really useful.",Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd2,"Control will also be available if additional ships come under your control, such as your new companion. \nYour primary hub would be the mothership for control.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd3,Why are you doing this?,Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd4,This is a tactically advantageous ability for conflict.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd5,"No, I mean, why are you assisting me in giving partial control over your mothership? \nIt isn't normal to trust another system who torched your defenses a few hours ago. ",Player,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd6,My analysis is that your advanced AI would provide the highest chance of long-term survival.,AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd7,"It is uneventful to be alone, but the risk is too high to try with just anyone, and then potentially be destroyed. \nYou have extreme potential for the future.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd8,"In return, it will assist you in your objectives, which will increase this mothership's power and safety. \nYour safety is heightened with this added defense.",AID,,TRUE,TRUE,,,,
smMainIntroduceShipSwapDiedBeforeEnd9,"Aside from going to Sol, I don't even know my objectives, or what I mean to do.",Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Mothership Defense,Introduces defending the mothership,,,,,,,,
smMainFirstMothershipDefenseActiveTitle,Mothership Defense,,,,,,,,
smMainFirstMothershipDefenseActiveInfo,Defeat the incoming pirates,,,,,,,,
smMainFirstMothershipDefense,Mothership Defense,,,,,,,,
smMainFirstMothershipDefenseInfo,"The mothership is a stationary ship, equip with multiple weapon, equipment, and generator slots. Capable of defending itself against most threats, the stationary aspect prevents evasion against high damage attacks.",,,,,,,,
smMainFirstMothershipDefenseStart1,I will suggest the goal of shooting the immediate threat right now.,AID,,TRUE,TRUE,,"TODO: Add content that Mothership has Q and E abilities, and basic blasters. Push back, and shoot them down.",,
smMainFirstMothershipDefenseStart2,"For weapons, we have 9 weapons which will handle most fragile threats with ease.",AID,,TRUE,TRUE,,TRIGGER: Kill enemy,,
smMainFirstMothershipDefenseStart3,"For enemies that get close, we also have a Shockwave Emitter activated with #action{Action3}.\nThis will push back everything around the mothership.",AID,,TRUE,TRUE,,,,
smMainFirstMothershipDefenseStart4,"With our weak shields, you will need to use this strategically, and manage the cooldown.",AID,,TRUE,TRUE,,,,
smMainFirstMothershipDefenseStart5,Here they come.,AID,,TRUE,TRUE,,,,
smMainFirstMothershipDefenseEnd1,Excellent job at handling them.,AID,,TRUE,TRUE,,,,
smMainFirstMothershipDefenseEnd2,They were no match for your defense systems you have in place here.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Get Back Home Fast,,,,,,,,,
smMainRaceHomeDefendMothershipActiveTitle,"Switch Back, Drive Home",,,,,,,,
smMainRaceHomeDefendMothershipActiveInfo,Swap control back to ship,,,,,,,,
smMainRaceHomeDefendMothership,"Switch Back, Drive Home",,,,,,,,
smMainRaceHomeDefendMothershipInfo,Switch back to your ship and get back to the mothership to protect it from the second wave. ,,,,,,,,
smMainRaceHomeDefendMothershipStart1,"Not finished yet. More incoming, get your ship back here, fast.",AID,,TRUE,TRUE,,,,
smMainRaceHomeDefendMothershipStart2,Swap control back to your ship by pressing #action{SwapUp}.,AID,,TRUE,FALSE,,TRIGGER: Switch to Player ship,,
smMainRaceHomeDefendMothershipEnd1,Moving as fast as we can!,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Home Beacon Kit,Introduce to player home beacon kit,,,,,,,,
smMainIntroduceHomeBeaconKitActiveTitle,Best Home Defense System,,,,,,,,
smMainIntroduceHomeBeaconKitActiveInfo,Use the home beacon kit.,,,,,,,,
smMainIntroduceHomeBeaconKit,Best Home Defense System,,,,,,,,
smMainIntroduceHomeBeaconKitInfo,"Once configured, the home beacon kit can transport a ship and its escorts back to a pre-determined location, generally a starport or a station. ",,,,,,,,
smMainIntroduceHomeBeaconKitStart1,My leader! I never gave you the reward for avenging my crew. Now is the time for it!,Drifter,,TRUE,TRUE,,,,
smMainIntroduceHomeBeaconKitStart2,A Home Beacon Kit?,Player,,TRUE,TRUE,,,,
smMainIntroduceHomeBeaconKitStart3,"My crew and I had a base before and would use these to get us all back quickly.\nAs long as you're synchronized with home, you're solid!",Drifter,,TRUE,TRUE,,,,
smMainIntroduceHomeBeaconKitStart4,You are already synced with the mothership. Use it now.,AID,,TRUE,TRUE,,,,
smMainIntroduceHomeBeaconKitStart5,Press #action{QuickUse1} to use the Home Beacon Kit.,AID,,FALSE,FALSE,,TRIGGER: Use beacon kit in slot 1. Force player to have HBK there. Hopefully they won't move it away,,
,,,,,,,,,
# First Defend Mothership,,,,,,,,,
smMainFirstMotherShipDefenseAllActiveTitle,Defend The Mothership,,,,,,,,
smMainFirstMotherShipDefenseAllActiveInfo,Destroy all attackers,,,,,,,,
smMainFirstMotherShipDefenseAll,Defend The Mothership,,,,,,,,
smMainFirstMotherShipDefenseAllInfo,"Pirates will seize the opportunity to attack your mothership. As your mothership is not a common sight, it is a high-value target to plunderers.",,,,,,,,
smMainFirstMotherShipDefenseAllStart1,That was quick!,Player,,TRUE,TRUE,,,,
smMainFirstMotherShipDefenseAllStart2,This is an excellent escape if your fleet is in danger\nOr for this situation where the mothership is under attack and needs protection.,AID,,TRUE,TRUE,,,,
smMainFirstMotherShipDefenseAllStart3,Time for some justice.,Player,,TRUE,TRUE,,TRIGGER: Kill all pirates,,
smMainFirstMotherShipDefenseAllEnd1,That's all of them. The mothership is safe once more.,AID,,TRUE,TRUE,,,,
smMainFirstMotherShipDefenseAllEnd2,The home beacon kit seems easy enough to replicate with common materials.\nI have added this blueprint.,AID,,TRUE,TRUE,,PLOT: Add new Blueprint,,
,,,,,,,,,
# Introduce Hangar,,,,,,,TODO: HANGAR!,,
smMainIntroduceHangarActiveTitle,Coop Mode,,,,,,,,
smMainIntroduceHangarActiveInfo,Open the hangar,,,,,,,,
smMainIntroduceHangar,Coop Mode,,,,,,,,
